problem,mechanism,ratio_vs_full_ca,p_value,significant
F1,pinning,1.1206439876745962,0.5945602565439676,no
F1,en_passant,3610.7008060056423,2.871949066320324e-11,yes
F1,windmill,1.0210663222608962,0.9528424295801989,no
F1,threefold,2.0882955479231824,0.008874707243582238,yes
F1,royal_council,1.1021753731549053,0.9175733096128048,no
F1,castling,1.1784277886352847,0.30071104714831287,no
F1,sacrifice,1.2112382662878074,0.6467245773434841,no
F1,knight_fork,274.3394907771361,3.7006129347409627e-06,yes
F1,blockade,1.0,1.0,no
F1,interference,1.134980530282112,1.0,no
F1,discovered_attack,1.1942999021204945,0.39117045199768474,no
F1,opposition_init,1.26277518776128,0.09775105544859913,no
F4,pinning,1.10010316009074,0.32190218598612863,no
F4,en_passant,2.691524529610259,2.4878739798152165e-10,yes
F4,windmill,0.9981210398365056,0.9293151249146342,no
F4,threefold,1.139043600408464,0.0236963474859871,yes
F4,royal_council,0.8854564863623412,0.02558535265900965,yes
F4,castling,1.0172956772534913,0.7787839689422886,no
F4,sacrifice,1.037166472826259,0.9646228051136889,no
F4,knight_fork,1.5848925389353288,4.619232489580058e-07,yes
F4,blockade,0.9999843687907068,0.8883028421533887,no
F4,interference,1.0187010847780504,0.7338250612126413,no
F4,discovered_attack,1.1387590753428654,0.37504362355861287,no
F4,opposition_init,1.0209323708490776,0.7338250612126413,no
F13,pinning,1.2198399936891173,0.7006856607005523,no
F13,en_passant,2.8641893835157677,1.6616209658834284e-07,yes
F13,windmill,1.225959270565697,0.39117045199768474,no
F13,threefold,1.007290565211678,0.6151959787448548,no
F13,royal_council,1.0134798402854277,0.5843624220907104,no
F13,castling,0.9305839801826413,0.9175733096128048,no
F13,sacrifice,1.0967397241670058,0.9058494458660942,no
F13,knight_fork,1.7765720576395965,0.008497691926134823,yes
F13,blockade,1.0207983545593342,0.9175733096128048,no
F13,interference,0.8909425399598503,0.46879758624609646,no
F13,discovered_attack,0.8350468768139233,0.6204037206277525,no
F13,opposition_init,1.1140752087357824,0.5742467278315231,no
F22,pinning,0.7766189036999797,0.5249522282756667,no
F22,en_passant,1.607499493214038,2.513753833380813e-05,yes
F22,windmill,1.004151890480507,0.564214705145786,no
F22,threefold,0.9525788585461069,0.02866268581834535,yes
F22,royal_council,0.9172929878473761,0.006235778451368497,yes
F22,castling,0.8939259462165169,0.19835756666257887,no
F22,sacrifice,0.9982557627504441,0.32190218598612863,no
F22,knight_fork,1.1761649632751605,0.00029212595033341365,yes
F22,blockade,0.9999902436180321,0.9823070530800847,no
F22,interference,0.9187423880135978,0.16914646155849145,no
F22,discovered_attack,0.9806896501530716,0.14737285954906498,no
F22,opposition_init,0.7697705288655425,0.010096986612851659,yes
WeldedBeam,pinning,0.9921465426947138,0.8360239504893114,no
WeldedBeam,en_passant,1.0191867266333456,0.0031076391357310446,yes
WeldedBeam,windmill,1.005336252534988,0.35163696900500074,no
WeldedBeam,threefold,1.0007327190784594,0.6256305639654389,no
WeldedBeam,royal_council,1.02905920797903,0.0013355914259268304,yes
WeldedBeam,castling,0.9931770837397942,0.564214705145786,no
WeldedBeam,sacrifice,0.9958179594708376,0.4161358470782788,no
WeldedBeam,knight_fork,1.046484778098557,0.0003092809122155637,yes
WeldedBeam,blockade,1.0128654188603414,0.604838651327524,no
WeldedBeam,interference,0.999596713761156,0.7449863001756435,no
WeldedBeam,discovered_attack,0.9938246708181709,0.7449863001756435,no
WeldedBeam,opposition_init,0.9896201165711197,0.72271979157106,no
BerthP2,pinning,1.0921040019956287,0.7338250612126413,no
BerthP2,en_passant,1.027482305916891,0.4508458012735146,no
BerthP2,windmill,1.0034340548015197,0.8649937061644875,no
BerthP2,threefold,1.0905458712059164,0.7562013389413471,no
BerthP2,royal_council,0.994874183340563,0.7449863001756435,no
BerthP2,castling,0.9816345412488308,0.7006856607005523,no
BerthP2,sacrifice,1.0780898491948336,0.604838651327524,no
BerthP2,knight_fork,1.128881952143862,0.05277472061605895,no
BerthP2,blockade,1.0,1.0,no
BerthP2,interference,1.0328972366863358,0.8015549378818438,no
BerthP2,discovered_attack,1.0014025671032438,0.9528424295801989,no
BerthP2,opposition_init,1.0217418189320564,0.8244957516547711,no
