problem,variant,best,mean,std,median,worst
F1,CA,197.15612526658873,3011.2531150209516,2586.9870967572233,2280.1718432959806,12233.038364643087
F1,CA-static,190.51264053781472,4186.444035225086,4080.778360775447,2671.337285673749,17092.89970554786
F1,pinning,764.5696786036261,3374.542698714629,2688.5081825440916,1960.4699455172833,11111.140541162762
F1,en_passant,53615.66231144165,10872734.04949315,11471494.603620222,9117082.723678615,54252551.84263779
F1,windmill,351.4234529253117,3074.6891435511106,2659.111254478087,2363.7670907588804,12358.228022503868
F1,threefold,288.261832723646,6288.386473768068,5170.631588123401,5259.486284665089,20533.068854067827
F1,royal_council,121.13421164070422,3318.9290257120883,3467.798955897474,2515.46740676943,17377.71925646437
F1,castling,340.68818544061077,3548.5443493552525,2599.265483955071,3193.223068591011,12004.787275545657
F1,sacrifice,70.52154585364414,3647.3450023917367,3125.8699690920357,2599.467727516734,12058.143619487024
F1,knight_fork,1336.4176346197696,826105.6461759127,3947126.7044727835,9669.417575299727,21968404.660593357
F1,blockade,197.15612526658873,3011.2531150209516,2586.9870967572233,2280.1718432959806,12233.038364643087
F1,interference,109.5981091748595,3417.713657300141,3761.5517410365137,2332.3116147305077,17776.87045774481
F1,discovered_attack,249.67356880945056,3596.3393005295566,2922.879674907979,2837.9322768714933,12638.745206753521
F1,opposition_init,435.3866494126912,3802.5357177173214,2568.256433012789,3142.562978684342,12002.467981126189
F4,CA,133.34695531944294,228.8863431430507,42.151190300254605,223.6571142397363,327.3628619526082
F4,CA-static,121.74654787973782,212.49352840469226,55.14339631180167,210.01360936784783,391.01800259617596
F4,pinning,142.42594394806633,251.79858939328358,75.05374559210652,236.83317958655016,438.79615308628024
F4,en_passant,207.2417535648915,616.0532070623119,199.66352729468983,601.6342899519811,1157.7495771227527
F4,windmill,133.33323151128138,228.456274822317,46.97639952910008,226.80031737430687,337.30196804639536
F4,threefold,127.3794237533059,260.71152437798764,62.15477791408654,264.7698105801925,389.0354708671581
F4,royal_council,110.445875770479,202.66889717577084,48.59517466241608,193.10003871844123,310.43339581275836
F4,castling,134.332700167015,232.8450874617848,63.383731487896064,214.4369755620845,403.97259460933276
F4,sacrifice,134.32754584324823,237.3932411957787,72.99737735300997,221.88694280237502,409.92469685868423
F4,knight_fork,199.01095765709783,362.7602575116125,110.35468982833015,353.2825517260876,625.8556759374792
F4,blockade,133.34353389272997,228.8827653727167,42.15069233015672,223.65372908382756,327.3600659789522
F4,interference,129.3615456538206,233.16676605070683,63.50654982834076,221.39149838491642,377.1076344242631
F4,discovered_attack,132.3447693271669,260.6464004761902,87.18620308597197,244.52521898296203,453.7036503616333
F4,opposition_init,126.36175982358077,233.67747696001027,58.56568044063488,231.34057261663986,387.0489269191103
F13,CA,18337.716006860428,221195.1632295636,186785.98661991127,130268.92170589052,668459.6123500172
F13,CA-static,34967.57589179338,197106.23937996468,175747.00560595785,117919.45683119634,779415.7628896377
F13,pinning,15502.29619504543,269822.70651801414,545790.9124389947,126681.23499011938,3104573.3769237213
F13,en_passant,151198.67467228242,633544.8382071534,324513.0093853515,561277.8440812154,1549935.2366107467
F13,windmill,29473.563371443073,271176.26096557605,235509.82363853196,200849.03508643026,955392.6154450941
F13,threefold,32542.54075513438,222807.80099159648,200854.58384167255,160031.3621206796,889871.3242062216
F13,royal_council,50427.0069725554,224176.83870180722,149132.73658777733,167619.63997050474,555304.2758038267
F13,castling,41829.5614719353,205840.67539531633,171918.80743307332,139866.13725720672,896369.2882749534
F13,sacrifice,39203.16775866158,242593.52230746738,255728.30101172198,129777.48481483717,963892.5852213076
F13,knight_fork,28990.563191996313,392969.1462786722,278551.09098846157,348205.5357947798,1214961.3246686903
F13,blockade,18337.716006860428,225795.65866122188,192059.20949487292,130268.92170589052,668459.6123500172
F13,interference,13938.393333682241,197072.18055458108,193127.4642070041,122868.54196630532,726385.4674998786
F13,discovered_attack,29705.849131621486,184708.33022119306,160081.2128116014,123500.52833686533,692215.4936066912
F13,opposition_init,24028.035538867873,246428.0476463215,256934.56400436317,151123.5502175014,1211516.7390506712
F22,CA,200.58103302048949,314.47599278648244,210.48124871607052,201.90341324219276,853.3551128107915
F22,CA-static,100.4103220662364,317.28079104337536,199.24426668297937,201.22700606342073,826.1431673742436
F22,pinning,200.38520204294673,244.2280007578007,128.87129421929626,202.09311271380375,721.4878186824326
F22,en_passant,206.18730474165795,505.519999032252,368.6952308468131,368.26639246150125,1612.3037184303985
F22,windmill,200.7900992479722,315.7816626672806,213.20885126380117,201.58541877409334,874.2004226477329
F22,threefold,200.45256424790205,299.5631822487012,179.20833496516875,203.31908051790697,739.2939484706503
F22,royal_council,200.40585582884432,288.4666230293824,178.74049552216692,200.92183691432706,766.0101836144372
F22,castling,200.4790435453574,281.11824941403484,163.51581530159072,201.138215285142,748.4946220164325
F22,sacrifice,200.48969642462544,313.9274720457732,190.99338107296586,201.34119481376888,736.6005254437368
F22,knight_fork,201.05925661809124,369.87564450663274,352.3919960946864,204.86511629792926,1874.5732244053834
F22,blockade,200.58103302048949,314.47292463857707,210.47540666496846,201.90341324219276,853.3551128107915
F22,interference,200.43589188077385,288.9224245855998,181.8338349569497,201.1442698920389,846.6139655818956
F22,discovered_attack,200.5039499992563,308.4033513473153,204.56501630709593,201.24349894544275,959.1967821440612
F22,opposition_init,100.4177283924746,242.0743512827671,139.0430763054498,201.01147467933788,716.0513816018038
WeldedBeam,CA,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
WeldedBeam,CA-static,1.7248518623385194,1.7775513361527222,0.13226538918029834,1.7253395968126133,2.3519991195844945
WeldedBeam,pinning,1.7248520632361208,1.7604550181228917,0.09380209021563037,1.7249728591806424,2.076458719852187
WeldedBeam,en_passant,1.7248641892987415,1.8084348532150332,0.13290187313965002,1.7400817990742912,2.1954625385112365
WeldedBeam,windmill,1.7248518907809671,1.7838587088849736,0.1195592923302642,1.727874180838254,2.1470362238269867
WeldedBeam,threefold,1.7248519111874756,1.7756902446250158,0.09364804358878509,1.7251798219782477,2.0552866896410915
