func,algo,best,mean,std,median,worst
F1,CA,197.1561252665888,3011.253115020952,2586.987096757224,2280.1718432959806,12233.038364643087
F1,CA-static,190.51264053781472,4186.444035225086,4080.778360775447,2671.337285673749,17092.89970554786
F1,GA,29465.80198467397,240028.2564516115,147509.22488368014,198845.2120117425,697015.4146848243
F1,GWO,12941663.658368248,4378121884.135457,3673792887.36526,4039785083.712679,14000015225.108038
F1,PSO,645553.7296306193,2328292864.4762416,2501907154.921904,1594411600.3442154,9941894144.999157
F1,WOA,2254750915.4062314,8488037255.566944,4384960772.363577,7653797071.75107,23894284634.14837
F2,CA,0.0607497762732123,107.66235348382584,204.59704198228368,8.239500566035062,780.7932366850658
F2,CA-static,0.0265595390405337,3.804961528510325,6.159556199212733,1.1176349829841854,24.723743654540414
F2,GA,2.5755779749943315,10.852262466366586,5.9707218371504185,9.620143346487724,26.2952746069123
F2,GWO,2453.8884184463154,15638.59099101324,11782.55276996927,11658.824768827037,45413.82525187614
F2,PSO,113.0897333296444,2741.8308268433443,5214.608802083125,1616.1093357208083,28200.853492848564
F2,WOA,20453.2182154398,51745.10438390017,18255.37704702313,50149.51313938887,84501.70506345139
F3,CA,22.701380382427715,107.75748862049346,43.40309625813038,101.22061791668176,198.6155751538543
F3,CA-static,16.04230990016879,99.03307091239772,39.969811754238336,83.34871450157505,177.30326028720503
F3,GA,31.86429973406632,86.66567122735039,50.25434673825916,78.98421252330999,202.1206420162987
F3,GWO,42.43943196007751,411.0727889661485,447.5032757827329,270.3928518342637,1870.6537990988563
F3,PSO,35.29434537062673,310.45077965222083,445.3035840675947,114.96176893269708,2095.895979259876
F3,WOA,479.53036052491575,1416.3514462848,750.7984665402164,1199.8334008613565,3243.763354888137
F4,CA,133.34695531944294,228.8863431430507,42.151190300254605,223.6571142397363,327.3628619526082
F4,CA-static,121.74654787973782,212.49352840469223,55.14339631180167,210.01360936784783,391.018002596176
F4,GA,87.10947064053977,147.96397732180702,35.30012325423315,152.90866547138097,219.20994872328023
F4,GWO,688.8290186947727,6084.17959983697,4170.38364674978,4340.447220515388,15712.799284877829
F4,PSO,1088.6223537217516,4978.142018562304,3475.58854923631,3898.067817619734,13566.57712461241
F4,WOA,11194.718777094206,26398.49016650583,8784.92648741781,26543.65026046191,50352.972581784365
F6,CA,149.3580243924805,273.8578656904852,75.93841305676318,256.95615994364584,428.2634516219782
F6,CA-static,153.37287785645162,231.5284360975409,47.184795403064726,234.50983289371555,324.7656116723049
F6,GA,229.2787747292629,312.39374876175185,52.8385776912217,304.9266748397173,412.0935197137119
F6,GWO,10112.58120177953,82240.96586886745,110486.61493779597,45380.49952233249,524917.1952313186
F6,PSO,27185.974907088952,194614.10833973173,177354.75558252298,120873.92692156136,898130.7025911247
F6,WOA,140910.39945281137,371740.7379158799,159822.47558218817,363008.05834938376,914970.5654433904
F7,CA,124.00000008593383,207.7500012378786,35.02302888670545,206.0000003156028,282.0000002359051
F7,CA-static,124.00000210160532,215.50165527560864,44.71515308950268,217.0000008105265,298.00000099933027
F7,GA,118.00042869011465,251.2002559813636,66.56845975190875,252.0000030704497,358.00000000600403
F7,GWO,111.9156503468722,377.03390200720736,140.52570894026522,426.2559238795037,604.0918030278399
F7,PSO,125.43937024345678,255.0162171632664,77.88604748693048,256.9937401902976,413.0001636735192
F7,WOA,649.4995903672825,846.4035322298233,130.48729486267302,834.6408734081266,1141.536287981052
F8,CA,2.0035417947204905,4.820733912143941,2.024847713587804,4.371678677171815,12.042914043243854
F8,CA-static,0.998197612457716,5.034643357523881,2.3400156719585627,4.995654198509044,9.214564365020353
F8,GA,1.9075856789165755,7.656876458263101,3.6711685180391824,8.06152173841798,18.686948509839794
F8,GWO,0.8538009178099628,6.806360334628281,4.3020050096440094,6.439945442102669,19.02641657216259
F8,PSO,0.1874565623128319,4.802474207187076,2.867605005932207,4.80081513851718,10.583246394127173
F8,WOA,11.358370994196662,25.42835315857324,10.197744227652862,23.92591320217633,43.890035734168805
F10,CA,8453.126348931644,22323.455763288734,9882.42317732522,20536.89197957364,52584.61903969405
F10,CA-static,2786.882311223891,23529.994079954373,15279.46591664384,21367.33158099929,66934.4720120214
F10,GA,3054.695240378238,23276.089203311603,13475.10011341286,22562.85804426349,65023.08198152474
F10,GWO,150989.87121012429,290103.7248528462,78871.608715014,276188.21989294223,477065.6190260992
F10,PSO,12468.274089484632,348759.3706979556,875680.7963936838,109737.03332026704,3742819.296350144
F10,WOA,69698.05421047936,341942.8075030806,793876.8617844146,177633.76062351192,4594989.862957199
F11,CA,34386.008167680426,328701.85684258875,263546.37799560564,221739.28469235217,1028774.8188200648
F11,CA-static,35061.78728232424,588586.0004647974,633528.3158432663,303421.5063539798,2636449.265206648
F11,GA,12731.621902322058,52920.2635030168,33202.47270273028,43364.24604242077,173767.7279703963
F11,GWO,4357194.080094202,139211773.56233525,264931437.6853226,56601403.801168434,1195571861.9928055
F11,PSO,85069.57710730808,222791704.49931115,473937120.1493314,5717258.397973306,2217954472.2887006
F11,WOA,26239045.581687823,470116345.714105,707690942.2265109,163072991.08682042,3197490165.132835
F12,CA,3121.112942947824,25245.9734554442,44519.383483960926,11649.762178933344,237196.0164332789
F12,CA-static,5390.940549466892,31293.446292389963,45545.19049008488,20323.64308507595,254466.10937790497
F12,GA,755.7838645572765,8972.56868896741,6241.795192478656,7586.578252697303,25373.464425300783
F12,GWO,614482.551419501,104499101.51588708,493878838.3235649,4760613.833791787,2758916289.4552426
F12,PSO,31270.45678753645,179087110.3373416,506470031.81138486,6672107.82156761,2683940305.565323
F12,WOA,9414813.206029177,176953899.53386834,466307667.5675774,67248063.9059051,2641712660.002421
F13,CA,18337.716006860428,221195.1632295636,186785.98661991127,130268.92170589052,668459.6123500172
F13,CA-static,34967.57589179338,197106.23937996468,175747.00560595785,117919.45683119634,779415.7628896377
F13,GA,47801.24424974396,2891718.7783401,2492514.441825767,2250046.760177148,8369726.171054966
F13,GWO,202121.20114738305,1782601.750707037,2433091.193995213,633774.9634299944,10380719.424353696
F13,PSO,94807.98917413376,453787.5799422074,428787.0123391148,282869.63514984294,2086395.0674104127
F13,WOA,241668.2711199548,5275967.084905605,4696195.2100032,3963871.745398568,15367757.158720318
F14,CA,6263.749786511219,23598.576575434603,7887.629791605143,22730.26385692,44970.716038879655
F14,CA-static,12016.889456959112,30824.015773775354,10619.25305090404,28768.45293919588,59382.968727880885
F14,GA,3974.264272740069,21687.192534371054,11412.107587758594,22038.652826236445,52185.22934222032
F14,GWO,301523.21539791755,17884468.393489864,38537681.39412353,2005642.4702421,183385206.85375533
F14,PSO,16873.67393425356,10135227.727912389,41026235.95678105,107951.93240655283,223482760.7025996
F14,WOA,287906.7790646607,56630906.95548654,83634694.96444212,16113211.141144438,286106624.4537229
F17,CA,17171.17557607612,58808.54377651036,42787.6057943407,49627.41644014075,238313.4592720749
F17,CA-static,10415.64671400086,42925.67204823652,18755.84635695788,41502.27670365744,102993.51408430972
