func,competitor,p_value,v3_mean_direction,significant
F7-D10,CA-static,0.18332122622250835,worse,no
F7-D10,GWO,3.175217248667983e-11,better,yes
F7-D10,PSO,4.4029951679875323e-10,better,yes
F7-D10,GA,0.010536525258653263,better,yes
F7-D10,WOA,2.871949066320324e-11,better,yes
F7-D10,L-SHADE,0.0109930026457564,worse,yes
F7-D10,CMA-ES,0.0006373466312952018,better,yes
F8-D10,CA-static,0.5249522282756667,worse,no
F8-D10,GWO,5.22831602652652e-11,better,yes
F8-D10,PSO,7.385504195098962e-08,better,yes
F8-D10,GA,0.24883438397815338,better,no
F8-D10,WOA,2.871949066320324e-11,better,yes
F8-D10,L-SHADE,0.00041013072581951406,worse,yes
F8-D10,CMA-ES,0.012999482492838093,worse,yes
F9-D10,CA-static,0.5843624220907104,better,no
F9-D10,GWO,8.93338459269216e-05,better,yes
F9-D10,PSO,9.497303014292743e-05,better,yes
F9-D10,GA,0.0004846055678053201,better,yes
F9-D10,WOA,2.2902248808643232e-08,better,yes
F9-D10,L-SHADE,0.1205749922602295,better,no
F9-D10,CMA-ES,1.0,better,no
F10-D10,CA-static,0.882465683286275,worse,no
F10-D10,GWO,0.25495317799825346,better,no
F10-D10,PSO,0.050992348965668316,better,no
F10-D10,GA,0.004968934435653612,better,yes
F10-D10,WOA,0.0003092809122155637,better,yes
F10-D10,L-SHADE,0.4597726465485664,better,no
F10-D10,CMA-ES,0.0004336778335061887,better,yes
F11-D10,CA-static,8.121073122605465e-09,better,yes
F11-D10,GWO,2.871949066320324e-11,better,yes
F11-D10,PSO,0.05277472061605895,better,no
F11-D10,GA,2.871949066320324e-11,better,yes
F11-D10,WOA,2.871949066320324e-11,better,yes
F11-D10,L-SHADE,5.316742803642794e-10,better,yes
F11-D10,CMA-ES,0.6573804271100814,better,no
F12-D10,CA-static,0.48713803171001935,better,no
F12-D10,GWO,0.8708108045360416,better,no
F12-D10,PSO,2.7769585786134074e-06,better,yes
F12-D10,GA,0.16016393690179076,better,no
F12-D10,WOA,2.5515076130333237e-09,better,yes
F12-D10,L-SHADE,0.13928936568684838,better,no
F12-D10,CMA-ES,5.101390926008103e-05,better,yes
