problem,algo,best,mean,std,median,worst,f_ref
WeldedBeam,CA-v3,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036,1.7249
WeldedBeam,CA-v2,1.7248518623385194,1.7775513361527222,0.13226538918029834,1.7253395968126133,2.3519991195844945,1.7249
WeldedBeam,GWO,1.7258201186963211,1.7277115364615736,0.0013810566035160098,1.7273539091461687,1.7304946723290087,1.7249
WeldedBeam,PSO,1.7248519949491037,1.7250727535064023,0.0010265544254597426,1.7248572210998767,1.730574660663764,1.7249
WeldedBeam,GA,1.7256119663504434,1.8027230687249902,0.09242686688537398,1.752298789999533,2.067825263656175,1.7249
WeldedBeam,WOA,2.079361744993233,172.63639062045462,910.2815128676177,3.467321118058651,5074.648929609686,1.7249
Spring,CA-v3,0.012665477465559152,0.01293353161031866,0.00031917567182425437,0.0127733885809117,0.013727133647338696,0.012665
Spring,CA-v2,0.012665249865575759,0.013051137522571062,0.000856247818890471,0.012702318246144026,0.016452449726748208,0.012665
Spring,GWO,0.012666760142710464,0.012805972137442502,0.00016744892869310432,0.012734511552224834,0.01336255087625645,0.012665
Spring,PSO,0.0126653746898106,0.013067011407253606,0.0009301909267332992,0.012727640603854007,0.01777315770737931,0.012665
Spring,GA,0.012689261994821427,0.013775719216750585,0.0012236474766106683,0.013382569012612817,0.01726087567583622,0.012665
Spring,WOA,0.012670047133292768,0.013621675045605252,0.0008430511764023062,0.013497570372770586,0.01574003089526497,0.012665
PressureVessel,CA-v3,5787.493263164247,5968.71444617594,236.06751252784917,5901.102825502719,6923.284392786127,5885.33
PressureVessel,CA-v2,5787.493265264769,5959.289401850345,230.60854800393403,5867.355552710702,6792.21569557744,5885.33
PressureVessel,GWO,5788.059666211528,5886.985735054668,191.06279494243788,5805.316724840124,6626.500575313909,5885.33
PressureVessel,PSO,5787.493262986841,6075.641620329396,297.922754207615,6001.76155776801,7301.195546382601,5885.33
PressureVessel,GA,5834.26175002007,6408.173131115061,386.28263136822864,6341.0682746132625,7294.273851536723,5885.33
PressureVessel,WOA,6768.027970554367,16213.927894553311,11091.562363306113,11935.785234048806,48869.964771474435,5885.33
SpeedReducer,CA-v3,2993.634257835224,2993.6342578352237,1.0100442674203611e-12,2993.6342578352246,2993.6342578352255,2994.47
SpeedReducer,CA-v2,2993.634257835224,2993.63425783657,4.793785973767183e-09,2993.6342578352255,2993.6342578570566,2994.47
SpeedReducer,GWO,2993.744069630327,2999.9541120982663,3.542729409070642,2999.840128708074,3007.8168855253975,2994.47
SpeedReducer,PSO,2993.634257835224,3031.6953570240544,34.63651893762785,3033.385359408,3188.304425907424,2994.47
SpeedReducer,GA,2993.6342578353415,2993.634257923129,1.3233082228933815e-07,2993.6342578919202,2993.6342584730746,2994.47
SpeedReducer,WOA,2993.6342578352264,2994.0081349320894,1.1288545001121462,2993.6342578824206,2999.155317887973,2994.47
ThreeBarTruss,CA-v3,263.8914911000863,263.89149110009186,1.1794244627967241e-11,263.89149110008657,263.89149110013324,263.8958
ThreeBarTruss,CA-v2,263.8914911000863,263.8914911000891,1.198478928952197e-11,263.8914911000864,263.8914911001529,263.8958
ThreeBarTruss,GWO,263.8915308475307,263.8944410390992,0.004537209850103781,263.8928348837968,263.9152490960501,263.8958
ThreeBarTruss,PSO,263.89149110009765,263.89149649830017,6.856210145635433e-06,263.89149435780735,263.8915228898249,263.8958
ThreeBarTruss,GA,263.89149359390376,263.8922649327361,0.0012479329328347144,263.89172418860204,263.8963996103488,263.8958
ThreeBarTruss,WOA,263.9068259676974,266.8499784608109,3.6976361101379567,265.52585568596714,282.05871330262175,263.8958
GearTrain,CA-v3,2.7008571488865134e-12,7.300533355268224e-10,1.0704482656045824e-09,1.1661157678109714e-10,4.503304176718563e-09,2.7e-12
GearTrain,CA-v2,2.7008571488865134e-12,8.082486567698914e-10,1.1061703952934292e-09,2.3063004508062902e-10,4.503304176718563e-09,2.7e-12
GearTrain,GWO,2.7008571488865134e-12,8.499101872119256e-10,8.067453813850936e-10,9.404596978349896e-10,2.3576406580248844e-09,2.7e-12
GearTrain,PSO,2.7008571488865134e-12,3.1678125747901232e-09,5.916703844585779e-09,9.921579583985335e-10,2.7264505977152865e-08,2.7e-12
GearTrain,GA,2.7008571488865134e-12,7.915973754111336e-10,9.933930261834357e-10,2.3063004508062902e-10,4.503304176718563e-09,2.7e-12
GearTrain,WOA,2.7008571488865134e-12,2.2534026724836044e-08,5.771246191483296e-08,2.3576406580248844e-09,3.0059060016141047e-07,2.7e-12
CantileverBeam,CA-v3,1.3399596120936483,1.3399895090009097,4.0084354094254173e-05,1.339974641777001,1.340141535795037,1.33996
CantileverBeam,CA-v2,1.3399579778876374,1.339975299576777,1.988804489697327e-05,1.3399691958071143,1.3400372757323877,1.33996
CantileverBeam,GWO,1.3399683750144642,1.3400797865233463,8.751397748548244e-05,1.3400464710174114,1.3402831439093372,1.33996
CantileverBeam,PSO,1.3399650435843558,1.3400136474969853,4.3134956522703265e-05,1.3400084078276657,1.3401659694972379,1.33996
CantileverBeam,GA,1.3404840537593579,1.3420172402724768,0.0012694047719485188,1.3418437156153822,1.345579293569615,1.33996
CantileverBeam,WOA,1.6211903515906934,3.372438669871286,1.1184848622929084,3.207479864777884,6.242852231065911,1.33996
