problem,algo,mean_time_s,std_time_s,mean_evals,core_budget,evals_over_core,relative_time_vs_GA
F1,CA,0.31160275000002,0.00921553783807542,16863.9,15000,1.12426,2.20506069700512
F1,CA-static,0.31070325999971826,0.040043140743857085,16760.9,15000,1.1173933333333335,2.198695444942953
F1,GWO,0.0898068999991665,0.002211784469935387,15030.0,15000,1.002,0.6355196335976445
F1,PSO,0.08009037999981956,0.0024626676018998915,15030.0,15000,1.002,0.566760560186955
F1,GA,0.1413125500006572,0.004962218896138385,15030.0,15000,1.002,1.0
F1,WOA,0.5553769199988892,0.04285921647643638,15030.0,15000,1.002,3.930131612488107
F1,L-SHADE,1.6144993899997644,0.1005667382689347,15500.0,15000,1.0333333333333334,11.425024811966495
F1,CMA-ES,1.0646786699995574,0.06409812598240663,15000.0,15000,1.0,7.534211717180151
F13,CA,0.8755038199997216,0.058616524307205285,16710.1,15000,1.1140066666666666,1.4174207552319829
F13,CA-static,0.8158866299992951,0.05280453864065555,16753.2,15000,1.11688,1.3209018817046918
F13,GWO,0.539690540000447,0.015933254552787057,15030.0,15000,1.002,0.8737466991283185
F13,PSO,0.5291646399997262,0.02283501202909652,15030.0,15000,1.002,0.8567055066312682
F13,GA,0.6176739100003033,0.0609562132318157,15030.0,15000,1.002,1.0
F13,WOA,1.1678438499999175,0.07562163015951723,15030.0,15000,1.002,1.8907126091813464
F13,L-SHADE,2.07830159000041,0.08576489489510168,15500.0,15000,1.0333333333333334,3.364722965228351
F13,CMA-ES,1.7188686100002086,0.17092767920267918,15000.0,15000,1.0,2.7828091524852727
F22,CA,1.6995690299998387,0.10111373897348147,16857.5,15000,1.1238333333333332,1.1885810429337036
F22,CA-static,1.8488265400003001,0.18248747856346173,16757.6,15000,1.1171733333333331,1.2929631796816607
F22,GWO,1.3496303800002352,0.05437022893134564,15030.0,15000,1.002,0.9438540337698683
F22,PSO,1.409847899999295,0.12118643329138346,15030.0,15000,1.002,0.9859667114310814
F22,GA,1.4299143000000185,0.07494209967679046,15030.0,15000,1.002,1.0
F22,WOA,1.9449555199993482,0.07437965185588714,15030.0,15000,1.002,1.3601902715423735
F22,L-SHADE,3.0522747800001526,0.27188622214927455,15500.0,15000,1.0333333333333334,2.134585813989071
F22,CMA-ES,2.3517507000004114,0.2909215656253653,15000.0,15000,1.0,1.6446794748471156
F8-2022-D20,CA,11.63561533999964,0.384492416082348,16765.2,15000,1.11768,1.1194972404520145
F8-2022-D20,CA-static,11.794542490000458,0.49661358672370914,16697.2,15000,1.1131466666666667,1.1347880953539629
F8-2022-D20,GWO,12.051483370000643,1.096778849130046,15030.0,15000,1.002,1.1595091434218452
F8-2022-D20,PSO,10.02335269000032,0.3320921184996144,15030.0,15000,1.002,0.9643766443496903
F8-2022-D20,GA,10.393607879999399,0.33862254140792525,15030.0,15000,1.002,1.0
F8-2022-D20,WOA,10.955721470000935,1.1206475556549262,15030.0,15000,1.002,1.054082624290957
F8-2022-D20,L-SHADE,11.554302659999667,0.16755717726401523,15500.0,15000,1.0333333333333334,1.111673905096402
F8-2022-D20,CMA-ES,10.559210579999126,0.15745294888461064,15000.0,15000,1.0,1.0159331294687766
WeldedBeam,CA,0.29816692000058537,0.02399901190126122,16923.9,15000,1.12826,3.015237842888712
WeldedBeam,CA-static,0.2955474700007471,0.01665946393585245,16722.4,15000,1.1148266666666669,2.9887484363272745
WeldedBeam,GWO,0.05113776999969559,0.007269952896597368,15030.0,15000,1.002,0.5171349635422954
WeldedBeam,PSO,0.0382606900002429,0.0048653260601587076,15030.0,15000,1.002,0.38691441821762
WeldedBeam,GA,0.09888670000073034,0.012497031331554637,15030.0,15000,1.002,1.0
WeldedBeam,WOA,1.391441449999911,0.07555721954160571,15030.0,15000,1.002,14.07106769656217
WeldedBeam,L-SHADE,1.7465991099994427,0.09356498632088492,15500.0,15000,1.0333333333333334,17.662629150194544
WeldedBeam,CMA-ES,0.39026444000010085,0.07575675974640614,9000.0,15000,0.6,3.946581693971166
SignalP1,CA,0.6336302399991837,0.027550316653911,10205.4,9000,1.1339333333333332,2.7541581304141833
SignalP1,CA-static,0.5811514299995906,0.03031058459538894,10043.0,9000,1.115888888888889,2.5260520014595005
SignalP1,GWO,0.19344378000059806,0.015356867256015573,9030.0,9000,1.0033333333333334,0.8408291237289844
SignalP1,PSO,0.18868836000074224,0.01046718663887243,9030.0,9000,1.0033333333333334,0.8201590580828846
SignalP1,GA,0.230063130000417,0.020721197950548883,9030.0,9000,1.0033333333333334,1.0
SignalP1,WOA,5.7965679199998705,0.13205401601792602,9030.0,9000,1.0033333333333334,25.195553585615233
SignalP1,L-SHADE,6.713926239999273,0.48962466954227196,9500.0,9000,1.0555555555555556,29.18297356028801
SignalP1,CMA-ES,0.7459797500003333,0.06724444136681182,9000.0,9000,1.0,3.2425002215651904
