Function,Comparison,p-value,Significant (a=0.05)
Sphere,CA vs GA,2.8719490663203234e-11,CA better
Sphere,CA vs PSO,2.8719490663203234e-11,CA better
Sphere,CA vs SA,2.8719490663203234e-11,CA better
Sphere,CA vs GWO,2.8719490663203234e-11,CA worse
Rosenbrock,CA vs GA,0.173777038979135,not significant
Rosenbrock,CA vs PSO,1.1499274734848317e-06,CA better
Rosenbrock,CA vs SA,2.8719490663203234e-11,CA better
Rosenbrock,CA vs GWO,2.776958578613408e-06,CA worse
Rastrigin,CA vs GA,0.4332897956218901,not significant
Rastrigin,CA vs PSO,3.5097576968084746e-11,CA better
Rastrigin,CA vs SA,2.8719490663203234e-11,CA better
Rastrigin,CA vs GWO,8.01074760292363e-06,CA worse
Griewank,CA vs GA,2.8719490663203234e-11,CA better
Griewank,CA vs PSO,2.8719490663203234e-11,CA better
Griewank,CA vs SA,2.8719490663203234e-11,CA better
Griewank,CA vs GWO,9.193236731325049e-06,CA worse
Ackley,CA vs GA,9.193236731325049e-06,CA worse
Ackley,CA vs PSO,2.894412287525995e-07,CA better
Ackley,CA vs SA,2.8719490663203234e-11,CA better
Ackley,CA vs GWO,2.8719490663203234e-11,CA worse
Schwefel 2.22,CA vs GA,2.8719490663203234e-11,CA better
Schwefel 2.22,CA vs PSO,2.8719490663203234e-11,CA better
Schwefel 2.22,CA vs SA,2.8719490663203234e-11,CA better
Schwefel 2.22,CA vs GWO,2.8719490663203234e-11,CA worse
